,store_code_uc,year_week,y_counterfactual,y_predict,week_sales,region
5737,5499071,201418,160755.99943197204,160755.99943197204,167244.89,not affected by soda tax
5738,5499071,201419,168668.51510197166,168668.51510197166,165631.77,not affected by soda tax
5739,5499071,201420,166911.75216197118,166911.75216197118,172009.38,not affected by soda tax
5740,5499071,201421,159738.10010197177,159738.10010197177,167075.47,not affected by soda tax
5741,5499071,201422,167959.40448197193,167959.40448197193,172177.03,not affected by soda tax
5742,5499071,201423,168356.89283197172,168356.89283197172,169045.2,not affected by soda tax
5743,5499071,201424,171803.52071197197,171803.52071197197,174115.2,not affected by soda tax
5744,5499071,201425,162483.15729197155,162483.15729197155,162363.38,not affected by soda tax
5745,5499071,201426,155152.66317197113,155152.66317197113,156548.47,not affected by soda tax
5746,5499071,201427,169116.71222197174,169116.71222197174,186102.92,not affected by soda tax
5747,5499071,201428,177387.16838197107,177387.16838197107,163979.05,not affected by soda tax
5748,5499071,201429,159188.27856197118,159188.27856197118,168341.92,not affected by soda tax
5749,5499071,201430,158677.38287197126,158677.38287197126,165187.05,not affected by soda tax
5750,5499071,201431,163110.43087197188,163110.43087197188,171602.03,not affected by soda tax
5751,5499071,201432,171894.91208197174,171894.91208197174,167679.81,not affected by soda tax
5752,5499071,201433,167189.45357197066,167189.45357197066,168878.78,not affected by soda tax
5753,5499071,201434,174569.0856919719,174569.0856919719,167234.81,not affected by soda tax
5754,5499071,201435,174726.53152197186,174726.53152197186,172507.31,not affected by soda tax
5755,5499071,201436,183569.41591197051,183569.41591197051,177575.56,not affected by soda tax
5756,5499071,201437,168968.95522197225,168968.95522197225,177769.77,not affected by soda tax
5757,5499071,201438,162784.75845197195,162784.75845197195,168069.67,not affected by soda tax
5758,5499071,201439,161559.26279197144,161559.26279197144,161295.45,not affected by soda tax
5759,5499071,201440,167605.4678019713,167605.4678019713,179027.7,not affected by soda tax
5760,5499071,201441,174936.701381971,174936.701381971,166538.77,not affected by soda tax
5761,5499071,201442,167503.268841972,167503.268841972,167568.06,not affected by soda tax
5762,5499071,201443,165955.04581197113,165955.04581197113,165680.28,not affected by soda tax
5763,5499071,201444,167649.7506619719,167649.7506619719,175190.02,not affected by soda tax
5764,5499071,201445,177626.17246197182,177626.17246197182,165943.83,not affected by soda tax
5765,5499071,201446,167508.92833197233,167508.92833197233,172855.95,not affected by soda tax
5766,5499071,201447,174012.373741971,174012.373741971,167648.34,not affected by soda tax
5767,5499071,201448,205448.8772719715,205448.8772719715,196487.48,not affected by soda tax
5768,5499071,201449,186258.96310197085,186258.96310197085,165390.41,not affected by soda tax
5769,5499071,201450,188199.69596197247,188199.69596197247,180253.98,not affected by soda tax
5770,5499071,201451,199249.87991197128,199249.87991197128,163581.77,not affected by soda tax
5771,5499071,201452,215781.3822819714,215781.3822819714,168741.75,not affected by soda tax
5772,5499071,201501,182043.45278197105,182043.45278197105,193768.23,not affected by soda tax
5773,5499071,201502,188529.58724197108,188529.58724197108,171104.66,not affected by soda tax
5774,5499071,201503,168603.95919197128,168603.95919197128,171265.34,not affected by soda tax
5775,5499071,201504,165137.33628197218,165137.33628197218,172810.06,not affected by soda tax
5776,5499071,201505,165084.6014219711,165084.6014219711,186397.59,not affected by soda tax
5777,5499071,201506,177324.98310197104,177324.98310197104,179914.03,not affected by soda tax
5778,5499071,201507,172489.41705197137,172489.41705197137,163844.13,not affected by soda tax
5779,5499071,201508,163786.25988197132,163786.25988197132,172740.14,not affected by soda tax
5780,5499071,201509,161848.87493197125,161848.87493197125,171911.31,not affected by soda tax
5781,5499071,201510,152142.3767148769,170769.99665673875,172403.66,not affected by soda tax
